Skill 1 Swing
	Link 4 5 9
		Type 1 Active 
Skill 2 Swagger
	Link 5 6 7 
		Type 2 Active
Skill 3 Add_Numbers
	Link 7 8 9
		Type 3 Active
Skill 4 +Stub
	Link 1 5 9 10 
		Type 1 Passive 
Skill 5 +StubSlip
	Link 1 2 4 6 11
		Type 4 Passive
Skill 6 +Slip
	Link 2 5 7 12
		Type 2 Passive
Skill 7 +SlipWis
	Link 2 3 6 8 13
		Type 5 Passive
Skill 8 +Wis
	Link 3 6 9 7 14
		Type 3 Passive
Skill 9 +WisStub
	Link 1 3 4 8 15
		Type 6 Passive
Skill 10 +Stub
	Link 4 16
		Type 1 Passive
Skill 11 +StubSlip
	Link 5 19 
		Type 4 Passive
Skill 12 +Slip
	Link 6 22
		Type 2 Passive
Skill 13 +SlipWiz
	Link 7 25
		Type 5 Passive
Skill 14 +Wis
	Link 8 28
		Type 3 Passive
Skill 15 +WisStub
	Link 9 31
		Type 6 Passive
Skill 16 +Stub
	Link 10 17 33 81 
		Type 1 Passive
Skill 17 +Stub
	Link 16 18 34
		Type 1 Passive
Skill 18 +Stub
	Link 17 19 40
		Type 1 PAssive
Skill 19 +StubSlip
	Link 18 20 46
		Type 4 Passive
Skill 20 +Slip
	Link 19 21 53 
		Type 2 Passive
